Currency_Name,rates
AED,3.784697
AFN,90.864551
ALL,116.837573
AMD,406.589284
ANG,1.850823
AOA,508.764184
ARS,165.392505
AUD,1.545562
AWG,1.8573
AZN,1.752381
BAM,1.951742
BBD,2.073398
BDT,104.947606
BGN,1.946687
BHD,0.389403
BIF,2124.179449
BMD,1.030402
BND,1.414197
BOB,7.095499
BRL,5.488333
BSD,1.026869
BTC,6.4898695e-05
BTN,82.980233
BWP,13.3019
BYN,2.59302
BYR,20195.879422
BZD,2.069905
CAD,1.368472
CDF,2106.141702
CHF,0.976455
CLF,0.033271
CLP,918.046711
CNY,7.266192
COP,4931.354302
CRC,625.704924
CUC,1.030402
CUP,27.305653
CVE,110.023897
CZK,24.284211
DJF,182.810685
DKK,7.438884
DOP,55.858136
DZD,143.565788
EGP,25.114293
ERN,15.45603
ETB,54.834753
EUR,1.0
FJD,2.297539
FKP,0.870581
GBP,0.87664
GEL,2.792695
GGP,0.870581
GHS,14.888662
GIP,0.870581
GMD,63.137884
GNF,8846.915189
GTQ,8.029116
GYD,214.7835
HKD,8.076708
HNL,25.378957
HRK,7.512348
HTG,139.13518
HUF,405.901117
IDR,16020.638952
ILS,3.530049
IMP,0.870581
INR,83.668695
IQD,1498.712132
IRR,43586.005193
ISK,149.500904
JEP,0.870581
JMD,157.937127
JOD,0.730552
JPY,143.676171
KES,125.604959
KGS,86.863609
KHR,4253.1655
KMF,497.993989
KPW,927.36181
KRW,1370.785176
KWD,0.316158
KYD,0.8557
KZT,472.735354
LAK,17784.399021
LBP,1552.877922
LKR,377.373036
LRD,158.455612
LSL,17.918472
LTL,3.042509
LVL,0.62328
LYD,5.119378
MAD,11.031322
MDL,19.71659
MGA,4405.419164
MKD,61.485633
MMK,2156.499464
MNT,3513.402318
MOP,8.290476
MRO,367.853341
MUR,45.136381
MVR,15.878893
MWK,1054.050942
MXN,20.14843
MYR,4.726965
MZN,65.770639
NAD,17.918898
NGN,454.366293
NIO,36.964379
NOK,10.280215
NPR,132.776327
NZD,1.69481
OMR,0.397795
PAB,1.026815
PEN,3.960325
PGK,3.618515
PHP,59.139925
PKR,227.459343
PLN,4.683022
PYG,7326.29861
QAR,3.75171
RON,4.894308
RSD,116.986748
RUB,62.416571
RWF,1098.088211
SAR,3.874363
SBD,8.480819
SCR,14.171076
SDG,585.785384
SEK,10.759375
SGD,1.41585
SHP,1.419281
SLE,18.490353
SLL,18361.76353
SOS,585.268008
SRD,30.97074
STD,21327.241261
SVC,8.985008
SYP,2588.91737
SZL,17.719733
THB,36.90745
TJS,10.318687
TMT,3.616711
TND,3.264828
TOP,2.444474
TRY,19.131681
TTD,6.972229
TWD,31.961522
TZS,2396.877894
UAH,37.925807
UGX,3865.903425
USD,1.030402
UYU,41.197722
UZS,11508.076752
VEF,955058.410474
VND,25507.601791
VUV,123.315914
WST,2.870193
XAF,654.620958
XAG,0.0483
XAU,0.000586
XCD,2.784713
XDR,0.799242
XOF,654.598768
XPF,121.123411
YER,257.858547
ZAR,17.838351
ZMK,9274.861257
ZMW,16.830977
ZWL,331.789027
